"","word"
"810","we"
"811","are"
"812","one"
"813","step"
"814","closer"
"815","to"
"816","the"
"817","treasure"
"818","gentlemen"
"819","ben"
"820","i"
"821","thought"
"822","you"
"823","said"
"824","thatthe"
"825","treasure"
"826","would"
"827","be"
"828","on"
"829","the"
"830","charlotte"
"831","no"
"832","the"
"833","secret"
"834","lies"
"835","with"
"836","charlotte"
"837","i"
"838","said"
"839","it"
"840","could"
"841","be"
"842","here"
"843","it's"
"844","templar"
"845","symbols"
"846","the"
"847","legend"
"848","writ"
"849","the"
"850","stain"
"851","effected"
"852","the"
"853","key"
"854","in"
"855","silence"
"856","undetected"
"857","fifty"
"858","five"
"859","in"
"860","iron"
"861","pen"
"862","mr"
"863","matlack"
"864","can't"
"865","offend"
"866","it's"
"867","a"
"868","riddle"
"869","i"
"870","need"
"871","to"
"872","think"
"873","the"
"874","legend"
"875","writ"
"876","the"
"877","stain"
"878","effected"
"879","what"
"880","legend"
"881","there's"
"882","the"
"883","legend"
"884","of"
"885","the"
"886","templar"
"887","treasure"
"888","and"
"889","the"
"890","stain"
"891","effects"
"892","the"
"893","legend"
"894","how"
"895","the"
"896","key"
"897","in"
"898","silence"
"899","undetected"
"900","wait"
"901","the"
"902","legend"
"903","and"
"904","the"
"905","key"
"906","now"
"907","there's"
"908","something"
"909","a"
"910","map"
"911","maps"
"912","have"
"913","legends"
"914","maps"
"915","have"
"916","keys"
"917","it's"
"918","a"
"919","map"
"920","an"
"921","invisible"
"922","map.so"
"923","now"
"924","wait"
"925","a"
"926","minute"
"927","what"
"928","do"
"929","you"
"930","mean"
"931","invisible"
"932","an"
"933","invisible"
"934","map"
"935","the"
"936","stain"
"937","effectedcould"
"938","refer"
"939","to"
"940","a"
"941","dye"
"942","or"
"943","a"
"944","reagent"
"945","used"
"946","to"
"947","bring"
"948","about"
"949","a"
"950","certain"
"951","result"
"952","combined"
"953","withthe"
"954","key"
"955","in"
"956","silence"
"957","undetected"
"958","the"
"959","implication"
"960","is"
"961","that"
"962","the"
"963","effect"
"964","is"
"965","to"
"966","makewhat"
"967","was"
"968","undetectable"
"969","detectable"
"970","unless"
"971","the"
"972","key"
"973","in"
"974","silence"
"975","could"
"976","be"
"977","prison"
"978","albuquerque"
"979","see"
"980","i"
"981","can"
"982","do"
"983","it"
"984","too.snorkel"
"985","that's"
"986","where"
"987","the"
"988","map"
"989","is.like"
"990","he"
"991","said"
"992","fifty"
"993","five"
"994","in"
"995","iron"
"996","pen"
"997","iron"
"998","pen"
"999","is"
"1000","a"
"1001","prison"
"1002","or"
"1003","it"
